会社コード,業種名,和文社名,住所,電話,設立年月,lat,lon
430025,他サービス,ＶｅｇａＰｒｏｊｅｃｔ（株）,東京都中央区日本橋本町１－２－６　日本橋本町スクエア５階,03-4578-3400,201102,35.68558,139.7764379
430026,電気機器卸売,Ａｎｉｘｔｅｒ　Ｊａｐａｎ（株）,東京都港区赤坂４－７－１５　赤坂丹後ビル６階,03-6893-5555,200803,35.6754294,139.7339977
430036,コンサルティング,Ｋ＆Ｌ　Ｇａｔｅｓ外国法共同事業法律事務所,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー２８階,03-6205-3600,201001,35.6668216,139.7494178
430041,その他卸売,デビッド・オースチン・ロージズ（株）,大阪府泉南市幡代２００１　花咲ファームイングリッシュローズガーデン,072-480-0031,200711,34.339888,135.2715119
430044,他製造業,テラリコン・インコーポレイテッド（日本支店）,東京都文京区湯島２－３１－２２　湯島アーバンビル６階,03-4586-4610,199800,35.7071327,139.7659667
430045,情報・システム・ソフト,オレンジビジネスサービスジャパン（株）,東京都港区虎ノ門４－３－１　城山トラストタワー３４階,03-5733-9010,198508,35.6646397,139.7430889
430046,コンサルティング,Ｌ．Ｅ．Ｋ．コンサルティング（株）,東京都港区虎ノ門４－３－１　城山トラストタワー２８階,03-4550-2640,200300,35.6646397,139.7430889
430047,人材派遣・業務請負,Ｍａｊｏｒ，Ｌｉｎｄｓｅｙ＆Ａｆｒｉｃａ－Ｊａｐａｎ合同会社,東京都港区虎ノ門４－２－１２　虎ノ門４丁目ＭＴビル２号館９階,03-6904-1030,200801,35.6641737,139.7456066
430050,貨物運送,ナショナル・エアカーゴ・ジャパン（株）,東京都港区港南２－１６－１　品川イーストワンタワー４階,－,200804,35.627763,139.7407736
430053,不動産,ペンブローク・リアルエステート・ジャパン，エルエルシー（日本支社）,東京都港区六本木７－７－７　Ｔｒｉ－Ｓｅｖｅｎ　Ｒｏｐｐｏｎｇｉ６階,03-5770-3260,200100,35.6649716,139.7291616
430055,投信・投資顧問,パトナム・インベストメンツ・ジャパン（株）,東京都港区虎ノ門４－３－２０　神谷町ＭＴビル,03-5404-5800,200011,35.6634944,139.744526
430056,コンサルティング,シャーマン　アンド　スターリング外国法事務弁護士事務所（東京事務所）,東京都千代田区内幸町２－２－２　富国生命ビル９階,03-5251-1601,198700,35.6705752,139.7553851
430060,輸送機器,リナマージャパン（株）,東京都新宿区四谷坂町９－９　三廣ビル８階,03-3355-8825,200500,35.6909656,139.7285538
430062,貨物運送,ドイグロジャパン（株）,東京都港区港南２－４－１３　スターゼン品川ビル１０階,03-6718-4510,200703,35.6285134,139.7441667
430063,化学卸売,アンブリオリス・ジャパン（株）,東京都渋谷区神南１－１５－３　神南プラザビル,03-5456-2041,200906,35.6635532,139.6995535
430069,食料品,ペーアッシュパリジャポン（株）（登記社名　ＰＨ　ＰＡＲＩＳ　ＪＡＰＯＮ（株））,東京都港区北青山３－１０－１８　北青山本田ビル２階,03-5485-7788,200410,35.663903,139.7102448
430071,他小売,ロンシャン・ジャパン（株）,東京都渋谷区神宮前４－３０－４　エムズクロス表参道３階,03-3478-1700,198207,35.6695226,139.7083897
430073,他サービス,ＤＩＡＭ　ＪＡＰＡＮ（株）,東京都新宿区西新宿５－１１－３　黒須ビル１階,03-5309-2401,200809,35.6919887,139.6859727
430075,専門店,メゾン・ド・ヴェルディ（株）,東京都目黒区自由が丘１－８－９　岡田ビル１～２階,03-3206-8700,200605,35.6067864,139.6687669
430077,機械卸売,ＦＩＶＥＳ（日本支社）,東京都港区虎ノ門１－１６－４　アーバン虎ノ門ビル５階,03-6273-3388,196811,35.6684419,139.7489944
430078,他サービス,アリアンスペース社　東京事務所,東京都千代田区霞が関３－２－５　霞が関ビル３１階,03-3592-2766,198600,35.671183,139.7472406
430086,人材派遣・業務請負,ターディス・グループ・ジャパン（株）,東京都中央区京橋２－２－１　京橋エドグラン２６階,03-6837-6950,200511,35.6773686,139.7694908
430094,その他卸売,Ｆｏｒｂｏ　Ｆｌｏｏｒｉｎｇ　Ｂ．Ｖ．（日本支店）,東京都品川区大崎５－１０－１０　大崎ＣＮビル４階,03-5740-2790,200700,35.62139,139.726046
430101,その他卸売,ＵＳＭ　Ｕ．シェアラー・ソンズ（株）,東京都千代田区丸の内２－１－１　丸の内ＭＹ　ＰＬＡＺＡ　１・２階,03-5220-2221,200808,35.6793825,139.7620533
430104,情報・システム・ソフト,（株）ダイリックス,神奈川県川崎市川崎区砂子１－１０－２　ソシオ砂子ビル９階,044-246-5586,199402,35.5311704,139.7023857
430106,情報・システム・ソフト,ニューコン（株）,東京都荒川区東日暮里５－４１－１２　日暮里コミュニティビル,03-3805-2584,199312,35.7267738,139.7741334
430113,その他卸売,（有）ガットマンジャパン,東京都中野区若宮１－４３－１６－２０２,－,199210,35.7189706,139.6471917
430114,他サービス,ＴＶＴジャパン（株）,東京都品川区上大崎４－５－３７　本多電機ビル１階,03-4588-9555,200912,35.6285128,139.7156311
430120,その他卸売,ピンゴルフジャパン（株）,埼玉県戸田市美女木東２－１－１４,048-437-6500,200401,35.8289245,139.6513076
430121,倉庫・物流関連,ＨＡＶＩサプライチェーン・ソリューションズ・ジャパン合同会社,東京都中野区本町２－４６－１　中野坂上サンブライトツインビル,03-6300-7000,201002,35.6966853,139.6821491
430123,人材派遣・業務請負,ＰｅｏｐｌｅＳｅａｒｃｈ（株）,東京都千代田区内幸町１－１－１　帝国ホテルタワー１２階Ｂ６,03-5501-3777,200501,35.6719343,139.7589986
430125,旅行,Ｂｏｏｋｉｎｇ．ｃｏｍ　Ｊａｐａｎ（株）,東京都港区北青山３－６－１　Ｏａｋ　Ｏｍｏｔｅｓａｎｄｏ５階,03-6743-6650,200809,35.6656909,139.7105702
430126,情報・システム・ソフト,（株）データダイレクト・ネットワークス・ジャパン,東京都千代田区四番町６－２　東急番町ビル８階,03-3261-9101,200801,35.6892357,139.7357443
430127,レジャー・娯楽,マーリン・エンターテイメンツ・ジャパン（株）,東京都港区台場１－６－１　デックス東京ビーチ　アイランドモール６階,03-3599-5157,201105,35.6290584,139.7759965
430128,機械卸売,ホットスタート・アジア・パシフィック合同会社,東京都文京区本駒込２－２７－１５　イントランス本駒込ビル４階,03-6902-0551,201111,35.7306454,139.7505342
430130,投信・投資顧問,ＯＡＮＤＡ証券（株）,東京都千代田区麹町３－６　住友不動産麹町ビル３号館４階,0120-923-213,200411,35.6846358,139.7385029
430131,倉庫・物流関連,（株）アーヴァート・デジタル・サービス・ジャパン,東京都江東区辰巳３－１２－２０　絹川屋運送株式会社内３階,03-5534-6045,199510,35.6431806,139.8176708
430134,広告,ＳＧＫジャパン（登記社名　（株）シャーク・ジャパン）,東京都品川区上大崎２－２４－９　アイケイビルディング４階,03-5759-6170,200002,35.6354246,139.7139442
430136,情報・システム・ソフト,ＴｏｐＴｅｃｈ　Ｉｎｆｏｒｍａｔｉｃｓ（株）,東京都千代田区西神田２－５－８　共和壱五番館８階,03-6909-4441,200602,35.6990234,139.7539278
430137,飲食・外食,ウェンディーズ・ジャパン（株）,東京都新宿区四谷４－３４－１　新宿御苑前アネックスビル５階,03-3350-9462,201102,35.6902514,139.714872
430139,その他卸売,ペベオ・ジャポン（株）,兵庫県神戸市東灘区田中町１－７－２１－４０１,078-414-7267,199910,34.7247738,135.2765877
430145,精密機器,ＯＥＭ　Ｇｒｏｕｐ　Ｊａｐａｎ合同会社,神奈川県横浜市神奈川区三枚町３３　新横浜ＭＴビル４階,045-548-8280,200906,35.4967518,139.6056089
430146,その他卸売,オラフォルジャパン（株）,東京都千代田区内神田２－１６－１１　内神田渋谷ビル,03-3527-1960,199211,35.6923226,139.7689219
430150,他サービス,（株）Ｇｅｒｓｏｎ　Ｌｅｈｒｍａｎ　Ｇｒｏｕｐ,東京都港区愛宕２－５－１　愛宕グリーンヒルズＭＯＲＩタワー２６階,03-4589-1500,200809,35.6621409,139.7488929
430152,化学卸売,（株）ＣＭＴ日本,東京都千代田区神田神保町１－２３　神田近江屋ビル５階,03-5217-4555,201006,35.695036,139.760981
430154,精密機器卸売,シェリー（株）,埼玉県さいたま市岩槻区本町４－１０－８　佐藤ビル３階,048-749-9001,200105,35.9467083,139.6986759
430157,その他卸売,レイコップ・ジャパン（株）,東京都港区虎ノ門３－２２－１　虎ノ門桜ビル３階,03-6860-2180,201206,35.6615435,139.7481588
430158,化学卸売,（株）ＯＴＣ（日本支社）,東京都墨田区錦糸１－２－１　アルカセントラル１４階,03-6853-6658,201110,35.6973487,139.8114691
430159,情報・システム・ソフト,ＰＩＡＮＯ　Ｊａｐａｎ（株）,東京都渋谷区神宮前１－１４－３４　原宿神宮の森ビル２階,－,201012,35.6709968,139.7030439
430160,情報・システム・ソフト,（有）インテリジェント・ソフトウェア・ソリューションズ（仙台支社）,宮城県仙台市青葉区南吉成６－７－１４,022-719-4075,200205,38.2859751,140.8107782
430163,電気機器,ティ・ディ・パワーシステムズ・リミテッド（日本支社）,東京都品川区北品川３－３－３　東和ビル４階,03-5783-5380,199904,35.6217576,139.7387778
430170,他サービス,（株）Ｂｉｇ　Ｂｒｉｄｇｅ　Ｉｎｔｅｒｎａｔｉｏｎａｌ（日本支社）,東京都渋谷区千駄ヶ谷１－１３－１１　ＣＨＡＲＩ千駄ヶ谷３階－３,－,200405,35.6771714,139.7119006
430171,精密機器卸売,（株）エベレックス・ジャパン,神奈川県川崎市幸区堀川町６６－２　興和川崎西口ビル,044-541-6267,200702,35.5358933,139.7012688
430172,他サービス,ＳＡＩグローバルジャパン（株）,東京都港区芝２－２８－１１　芝ＭＫビル８階,03-6436-0897,200602,35.649843,139.7530829
430177,機械卸売,ＺＯＬＬＥＲ　Ｊａｐａｎ（株）,大阪府吹田市東御旅町５－１１,06-6318-1910,200910,34.7529188,135.5299121
430178,その他卸売,ケー・ケー・ヴィ・コーポレーション（株）,大阪府大阪市城東区蒲生４－１４－１３,06-6786-1122,200707,34.698906,135.5459263
430182,食料品卸売,レッドブル・ジャパン（株）,東京都渋谷区渋谷１－３－３　ヒューリック青山第２ビル,03-6419-0290,200506,35.6620475,139.7063363
430184,投資業等,ストーンエックスフィナンシャル（株）,東京都中央区日本橋室町４－４－１０　東短室町ビル３階,03-5205-6161,200900,35.6890342,139.773303
430185,機械卸売,ＬＰＫＦ　Ｌａｓｅｒ＆Ｅｌｅｃｔｒｏｎｉｃｓ（株）,千葉県船橋市浜町２－１－１　ららぽーと三井ビル８階８１５号室,047-432-5100,201007,35.6793014,139.9898178
430187,電気機器卸売,アクア（株）,東京都中央区日本橋堀留町１－１１－１２　ＪＰＲ日本橋堀留ビル３階,03-6778-2678,201201,35.6890955,139.7793062
430188,他サービス,Ｅｕｒｏｍｏｎｉｔｏｒ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｌｉｍｉｔｅｄ（日本支店）,東京都港区虎ノ門４－３－１　城山トラストタワー３６階,03-3436-2100,201009,35.6646397,139.7430889
430189,旅行,ベックストラベルジャパン（株）,東京都港区虎ノ門４－１－１　神谷町トラストタワー２４階,03-4577-4472,201111,35.6650161,139.7454071
430190,旅行,マカオ航空　日本支社（登記社名　ＡＩＲ　ＭＡＣＡＵ　Ｃｏｍｐａｎｙ　Ｌｔｄ．）,東京都港区虎ノ門２－４－１　虎ノ門ピアザビル９階,03-3595-8811,199409,35.6688842,139.7476797
430192,旅行,アンフィトリオン・ジャパン（株）,東京都中央区京橋１－６－６　ハラダビル４階,03-5579-9855,199101,35.6776785,139.7718972
430193,情報・システム・ソフト,ＣＲＩＴＥＯ（株）,東京都渋谷区恵比寿４－２０－３　恵比寿ガーデンプレイスタワー２６階,03-6450-3350,201201,35.6422106,139.7134456
430194,新聞・出版,（株）日経ナショナルジオグラフィック,東京都港区虎ノ門４－３－１２,03-6811-8505,199409,35.663985,139.743386
430197,電気機器卸売,中日電熱（株）,東京都港区芝公園１－６－７　住友不動産ランドマークプラザ８階,03-6402-5111,199411,35.6584113,139.7522909
430199,ホテル,ザ・リーディングホテルズ・オブ・ザ・ワールド（日本支社）,東京都目黒区下目黒１－３－２７　アセンド目黒２階,03-5436-8115,197000,35.6343123,139.7127777
430200,情報・システム・ソフト,Ｆｏｒｅｘｗａｒｅ　Ｊａｐａｎ（株）,東京都港区白金台５－８－７　５０７号室,－,201110,35.641289,139.7207343
430204,電気機器卸売,（株）ケイエムダブリュジャパン,神奈川県横浜市中区山吹町１－３　Ｋ＆Ｇビル５階,045-231-6430,200005,35.4403042,139.6323417
430205,電気機器,ネオフォトニクス・セミコンダクタ合同会社,東京都八王子市東浅川町５５０－１０,042-662-6610,201303,35.6434382,139.2913859
430211,他サービス,（株）ＩＥ　ＪＡＰＡＮ,東京都千代田区神田須田町２－２３－１　天翔秋葉原万世橋ビル３階３０８号,－,201112,35.6968623,139.7713046
430212,電気機器卸売,ソニックステクノロジー（株）,東京都千代田区九段南４－８－２７　小林ビル２階,03-6272-6070,201110,35.6914042,139.7378322
430214,倉庫・物流関連,ゲブルダーバイス（株）,東京都中央区新川１－１７－２５　東茅場町有楽ビル６階,03-6280-5530,200809,35.6785306,139.7833806
430216,食料品卸売,（株）ラクトサンサノボジャパン,東京都杉並区高円寺北３－２－１　プチフォンテーヌ,03-5327-3500,199507,35.7055634,139.6482972
430219,その他卸売,モトローラ・モビリティ・ジャパン合同会社,東京都千代田区外神田４－１４－１　秋葉原ＵＤＸ,03-6365-4943,200909,35.7006943,139.7726237
430222,電気機器卸売,ハイセンスジャパン（株）,神奈川県川崎市幸区鹿島田１－１－２　新川崎三井ビルディングウエストタワー１９階,044-578-0670,201011,35.549808,139.6737985
430228,情報・システム・ソフト,（株）Ｉｍｐｅｒｖａ　Ｊａｐａｎ,東京都中央区京橋２－７－１４　ビュレックス京橋,03-6263-0671,200703,35.6768545,139.7713181
430229,情報・システム・ソフト,ネットギアジャパン合同会社,東京都中央区京橋３－７－５　近鉄京橋スクエア８階,03-3538-2600,199911,35.675572,139.770437
430230,情報・システム・ソフト,（株）サブゲート,東京都千代田区外神田２－５－１５　外神田Ｋビル４階,03-5207-2744,201106,35.7000136,139.7688233
430235,情報・システム・ソフト,エムファシス・コーポレイション（日本支社）,東京都中央区日本橋兜町５－１　兜町第１平和ビル３階,－,‥,35.6822344,139.7783875
430239,コンサルティング,オリバーワイマングループ（株）,東京都港区赤坂９－７－１　ミッドタウン・タワー１６階,03-6871-7008,200112,35.6662186,139.7303961
430242,倉庫・物流関連,ヘルマンワールドワイドロジスティックス（株）,東京都千代田区岩本町１－１１－２　神田風源ビル５階,03-5839-2683,200606,35.6927851,139.7786671
430246,他サービス,ＣＡＡ－ＧＢＧ（日本支社）（登記社名　ＣＡＡ－ＧＢＧインターナショナル・リミテッド）,東京都目黒区下目黒１－８－１　目黒アルコタワー７階,03-4334-8274,200000,35.6316957,139.7132982
430249,他サービス,クラブ・デモンストレーション・サービシズ・インク（日本支店）,神奈川県川崎市川崎区砂子２－４－１０　ヒューリック川崎ビル９階,044-223-2910,198812,35.5305582,139.7005906
430250,他金融,Ｍａｓｔｅｒｃａｒｄ　Ｐｒｅｐａｉｄ　Ｍａｎａｇｅｍｅｎｔ　Ｓｅｒｖｉｃｅｓ　Ｊａｐａｎ（株）,東京都渋谷区桜丘町２６－１　セルリアンタワー１６階,03-5728-5300,201102,35.6564093,139.6993541
430252,他サービス,Ｐｅｇａｓｕｓ　Ｓｏｌｕｔｉｏｎｓ　Ｊａｐａｎ合同会社,東京都中央区日本橋室町４－３－９,050-1744-4890,198900,35.6894282,139.7721223
430254,他サービス,Ｇｕｉｎｎｅｓｓ　Ｗｏｒｌｄ　Ｒｅｃｏｒｄｓ　Ｊａｐａｎ（株）,東京都渋谷区神宮前２－４－１２,－,201005,35.6729246,139.7128741
430255,その他卸売,日本ゲッツナー（株）,東京都中央区日本橋大伝馬町６－８　ＰＭＯ日本橋大伝馬町７階,03-6842-7072,200208,35.6895977,139.7791688
430256,コンサルティング,フロスト・アンド・サリバン・ジャパン（株）,東京都港区赤坂５－２－２０　赤坂パークビル２３階,050-6875-0901,201401,35.6722095,139.7333495
430257,新聞・出版,（株）ハースト婦人画報社,東京都港区南青山３－８－３８　南青山東急ビル５階,－,198903,35.6671881,139.7150326
430258,情報・システム・ソフト,Ｃｌｏｕｄｅｒａ（株）,東京都中央区京橋２－２－１　京橋エドグラン２６階,03-6748-1506,201111,35.6773686,139.7694908
430262,電気機器卸売,（株）ストラタシス・ジャパン,東京都中央区新川１－１６－３　住友不動産茅場町ビル３階,03-5542-0042,201204,35.6775426,139.78378
430268,医薬品,ホロジックジャパン（株）,東京都文京区後楽１－４－２５　日教販ビル,03-5804-2340,200406,35.7035558,139.7481987
430272,他サービス,サーモフィッシャーダイアグノスティックス（株）,東京都港区芝浦４－２－８　住友不動産三田ツインビル東館４階,03-6872-6200,200112,35.6427313,139.7447256
430273,コンサルティング,ＡＥＣＯＭ　Ｊａｐａｎ（株）,東京都新宿区西新宿１－２６－２　新宿野村ビル３２階,03-5322-2970,201102,35.6929509,139.6953653
430274,情報・システム・ソフト,日本エクセム（株）,東京都千代田区神田錦町３－７　東京堂錦町ビル４階,03-3518-0771,200803,35.6918169,139.7595142
430277,レジャー・娯楽,（株）ＷｅＭａｄｅ　Ｏｎｌｉｎｅ,東京都千代田区内神田１－４－１　大手町２１ビル２階,03-5577-2825,200403,35.6899835,139.7655474
430279,情報・システム・ソフト,ディーエッジジャパン（株）,東京都渋谷区桜丘町２６－１　セルリアンタワー１５階,03-5456-5484,201011,35.6564093,139.6993541
430281,ホテル,パシフィックセンチュリーホテル（株）,東京都千代田区丸の内１－１１－１　パシフィックセンチュリープレイス丸の内,03-5222-7222,200012,35.6779865,139.7669297
430282,情報・システム・ソフト,エンタープライズＤＢ（株）,東京都新宿区西早稲田１－２２－３　早稲田大学インキュベーションセンター,050-5532-7038,201104,35.7087334,139.7196485
430286,その他卸売,シスレージャパン（株）,東京都港区北青山２－１２－１６　北青山吉川ビル８階,03-5771-6210,199304,35.6703147,139.7163892
430289,電力・ガス,Ｓｋｙ　Ｓｏｌａｒ　Ｊａｐａｎ（株）,東京都港区東新橋１－５－２　汐留シティセンター８階,03-5275-3470,200910,35.6654972,139.7608806
430292,情報・システム・ソフト,Ｖｏｂｉｌｅ　Ｊａｐａｎ（株）,東京都渋谷区渋谷１－１２－２　クロスオフィス渋谷３０３号室,03-6804-3955,201012,35.6603536,139.7034313
430293,電気機器,ＪＳＢ　ＴＥＣＨ　ＰＴＥ．　ＬＴＤ．（日本支店）,東京都千代田区二番町１　番町ハイム６３３号室,03-6261-2531,201205,35.6864476,139.738116
430294,化学卸売,イルミナ（株）,東京都港区芝５－３６－７　三田ベルジュビル２２階,03-4578-2800,200301,35.6450424,139.7453443
430296,電気機器卸売,ＳＭＡジャパン（株）,東京都港区芝３－２３－１　セレスティン芝三井ビル８階,03-3451-9532,201106,35.6512574,139.7488573
430298,繊維・衣服卸売,（株）スタッフインターナショナルジャパン,東京都渋谷区恵比寿南１－１５－１　Ａ－ＰＬＡＣＥ恵比寿南ビル２階,03-5794-9931,199807,35.6448313,139.7093124
430300,コンサルティング,長城コンサルティング（株）,東京都文京区本郷６－２６－１　トーカンキャステール本郷２０１,03-5615-9782,198610,35.714943,139.7586193
430302,情報・システム・ソフト,ＩｎＭｏｂｉ　Ｊａｐａｎ（株）,東京都千代田区平河町１－６－４　Ｈ１Ｏ平河町９階,03-6427-1836,201002,35.6823874,139.7402352
430303,その他卸売,ソプレイソーラー（株）,愛知県名古屋市中区千代田３－２１－１,052-846-8739,200911,35.1557722,136.9108629
430307,情報・システム・ソフト,マスターコントロール（株）,東京都港区赤坂１－１２－３２　アーク森ビル２２階,050-3823-0455,200804,35.6671134,139.740135
430310,電気機器,アドバンテック（株）,東京都台東区浅草６－１６－３,03-6802-1021,199705,35.7165025,139.7999768
430311,情報・システム・ソフト,キリバ・ジャパン（株）,東京都港区虎ノ門４－１－１　神谷町トラストタワー２３階,050-1741-7069,201206,35.6650161,139.7454071
430322,他サービス,ＷＰＰマーケティング・コミュニケーションズ合同会社,東京都渋谷区恵比寿２－３６－１３　広尾ＭＴＲビル　Ｂ１階,03-4485-3900,199409,35.6457381,139.72254
430326,電気機器卸売,リナック（株）,神奈川県横浜市港北区北新横浜２－５－１,045-533-0802,200212,35.5159766,139.6162313
430329,情報・システム・ソフト,日本ライフレイ（株）,東京都渋谷区恵比寿西１－２６－７　ファブールエビス１階,03-5456-5796,201207,35.6473637,139.7057167
430332,他サービス,Ａｌｐｈａ　ＣＲＣ（日本支社）（登記社名　Ａｌｐｈａ　Ｃａｌｌｉｇｒａｐｈｉｃ　Ｒｅｓｅａｒｃｈ　Ｃａｍｂｒｉｄｇｅ　Ｌｔｄ．）,東京都新宿区新宿１－１９－３　エルスタンザ新宿御苑３階,03-6380-1461,201201,35.6895455,139.7125389
430337,食料品,（株）Ｂｒａｈｉｍ’ｓ　Ｆｏｏｄ　Ｊａｐａｎ,東京都大田区大森北６－３１－５,03-5753-9399,201205,35.580051,139.7354654
430338,情報・システム・ソフト,シュレーディンガー（株）,東京都千代田区丸の内１－８－１　丸の内トラストタワーＮ館１３階,03-4520-7090,201110,35.6832253,139.7697606
430339,電気機器,（株）テクシオ・テクノロジー,神奈川県横浜市港北区新横浜２－１８－１３　藤和不動産新横浜ビル７階,045-620-2303,201210,35.507955,139.6110653
430340,精密機器卸売,ＨＭＳインダストリアルネットワークス（株）,神奈川県横浜市港北区新横浜３－１８－３　新横浜ＫＳビル６階,045-478-5340,200901,35.5101658,139.616562
430342,機械卸売,シールドエアージャパン合同会社,東京都中央区日本橋小伝馬町１－７　スクエア日本橋,03-5644-1110,197808,35.6901296,139.7779482
430346,他サービス,イプソス（株）,東京都港区虎ノ門４－３－１３　ヒューリック神谷町ビル６・８階,03-6867-8001,196809,35.6637327,139.7440469
430349,電気機器卸売,Ｒ＆Ｍ　Ｊａｐａｎ（株）,東京都品川区上大崎３－３－６　永峰ビル４階,03-5789-1160,201304,35.6340722,139.7184442
430350,損害保険,ＡＩＧ損害保険（株）,東京都港区虎ノ門４－３－２０　神谷町ＭＴビル,03-6848-8500,201204,35.6634944,139.744526
430351,輸送機器,ジョンソン・マッセイ・ジャパン合同会社,栃木県さくら市喜連川５１２３－３,028-686-5781,201203,36.7269782,140.0019707
430352,情報・システム・ソフト,ＮＨＮ　ＪＡＰＡＮ（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー２２階,03-6263-1778,201304,35.6668216,139.7494178
430353,食料品,日本シャクリー（株）,東京都新宿区西新宿２－６－１　新宿住友ビル２１階,03-3340-3700,201212,35.6913514,139.6928126
440001,医薬品,メドエルジャパン（株）,東京都千代田区神田駿河台２－１－２０　お茶の水ユニオンビル５階,03-5283-7266,200105,35.6997154,139.76214
440002,航空,（株）ティーウェイ航空（日本支店）,大阪府大阪市中央区南船場２－４－８　長堀プラザビル６階,06-6224-0801,201202,34.675579,135.5060075
440003,機械卸売,ＴＯＭＲＡ　Ｓｏｒｔｉｎｇ（株）,埼玉県さいたま市南区曲本３－２－５,048-829-9081,200101,35.836587,139.635705
440004,医薬品,アッヴィ合同会社,東京都港区芝浦３－１－２１　ｍｓｂ　Ｔａｍａｃｈｉ田町ステーションタワーＳ,03-4577-1111,201209,35.6447514,139.7493165
440009,輸送用機器卸売,（株）ＨＩＨＯ　ＭＥＴＡＬ　ＪＡＰＡＮ,神奈川県横浜市中区住吉町４－４５－１,045-595-9890,201210,35.4467946,139.6362047
440011,建設,ｊｕｗｉ自然電力（株）,東京都文京区本郷５－３３－１０,03-5684-5404,201301,35.7113967,139.7554521
440013,情報・システム・ソフト,Ｔｗｉｔｔｅｒ　Ｊａｐａｎ（株）,東京都中央区京橋３－１－１　東京スクエアガーデン,－,201011,35.6761291,139.7688154
440014,機械,ゲルブ・ジャパン（株）,神奈川県平塚市宮の前１－２　エバーズ第７平塚ビル８階,0463-72-7438,200908,35.3305219,139.3505226
440015,鉄鋼,サンシンメタル・ジャパン（株）,愛知県名古屋市千種区今池南２９－２４　川島第一ビル３Ｇ,052-753-9928,201210,35.1632898,136.9363307
440017,他サービス,ＡＴＯＭＯＳ（株）,東京都品川区西五反田７－８－１１　ＰＲＥＳＴＩＧＥ五反田４階,03-6661-2827,201208,35.6237004,139.7197101
440018,精密機器,Ｐｏｌｉｍａｓｔｅｒ　Ｊａｐａｎ（株）,石川県金沢市鞍月５－１７７　ＡＵＢＥ２,076-201-8623,201209,36.597189,136.6255007
440019,投信・投資顧問,ＧＡＭ証券投資顧問（株）,東京都千代田区丸の内３－１－１　国際ビルヂング２階,03-5219-8800,199700,35.6767148,139.7612147
440021,精密機器卸売,ＲＥＣ　Ｓｏｌａｒ　Ｊａｐａｎ（株）,東京都新宿区西新宿２－６－１　新宿住友ビル３２階,03-6302-0520,201205,35.6913514,139.6928126
440022,人材派遣・業務請負,Ｍｏｄｉｓ（株）,東京都港区芝浦３－４－１　グランパークタワー３階,03-5419-8880,200402,35.6436764,139.7455608
440026,電気機器卸売,サーコム・ジャパン（株）,東京都品川区東品川２－２－４　天王洲ファーストタワー２４階,03-6433-0061,201002,35.6234747,139.7494257
440028,農林水産,ヴィルモランみかど（株）,千葉県千葉市緑区大野台１－４－１１,043-311-6600,200701,35.5161338,140.2294037
440034,医薬品,アムジェン（株）,東京都港区赤坂９－７－１　ミッドタウン・タワー,03-5293-9900,201310,35.6662315,139.7313051
440035,機械,合同会社ＬＮＳジャパン,石川県能美市道林町丑３８－１,0761-55-2058,201201,36.4387121,136.4422223
440036,他サービス,（株）Ｇｅｎｇｏ,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー４２階,045-640-4664,200906,35.4545635,139.6314218
440045,情報・システム・ソフト,ＣＡＦＥ２４　ＪＡＰＡＮ（株）,東京都港区南青山１－１－１　新青山ビル西館１０階,03-6205-8911,201209,35.6727357,139.7253676
440048,情報・システム・ソフト,Ｚａｂｂｉｘ　Ｊａｐａｎ合同会社,東京都港区東新橋２－１６－３　カーザベルソーレ８階,03-4405-7338,201210,35.6610259,139.7572018
440049,機械卸売,（株）ダイヤコジャパン,東京都江戸川区西葛西６－２４－７　西葛西メディカルプラザ　３階,03-6808-3385,201209,35.6635613,139.8626709
440057,損害保険,ザ・ノース・オブ・イングランド・プロテクティング・アンド・インデムニティー・アソシエイション・リミテッド（日本支店）,東京都中央区京橋２－８－８　新京橋ビル６階,03-5159-5373,201201,35.6771564,139.7719372
440059,他サービス,ＳｅｒｖｉｃｅＳｏｕｒｃｅ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｊａｐａｎ合同会社,神奈川県横浜市西区みなとみらい３－６－３　ＭＭパークビル１１階,045-670-0400,201205,35.4585635,139.6326171
440061,情報・システム・ソフト,Ｅ２ｏｐｅｎ（株）,東京都港区赤坂７－３－３７　プラース・カナダ１階,－,201207,35.6733793,139.7284006
440063,化学卸売,（株）ソニックホールディングス,埼玉県川口市大字赤井１０４６,048-278-9412,201301,35.8313625,139.7488374
440064,航空,上海吉祥航空（株）（日本支店）（登記社名　ＪＵＮＥＹＡＯ　ＡＩＲＬＩＮＥＳリミテッド）,大阪府大阪市西区江戸堀１－１０－８　パシフィックマークス肥後橋６階,06-6445-6669,201209,34.6894715,135.4962494
440065,他小売,Ｚｅｂｒａ　Ｊａｐａｎ（株）,東京都渋谷区神宮前２－２２－１６,03-6758-0601,201107,35.6750169,139.7102002
440066,機械卸売,ＳＭＳ　ｇｒｏｕｐ（株）,東京都江東区豊洲３－３－３　豊洲センタービル９階,03-3520-8590,201110,35.6558266,139.7963119
440067,機械,ＳＹＮＯＶＡ　ＪＡＰＡＮ（株）,東京都目黒区中根２－１０－４,03-3725-6778,201101,35.6143117,139.6771399
